secid,shortname,contract_name,asset_code,first_trade_date,last_trade_date,expiry_date,boardid,decimals,history_from,history_till,listed_from,listed_till
CRU2,CNY-9.22,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-04-21,2022-09-15,2022-09-15,RFUD,2,2022-04-21,2022-09-15,2022-04-21,2022-09-15
CRZ2,CNY-12.22,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-06-02,2022-12-15,2022-12-15,RFUD,3,2022-06-02,2022-12-15,2022-06-02,2022-12-15
CRH3,CNY-3.23,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-08-15,2023-03-16,2023-03-16,RFUD,3,2022-08-15,2023-03-16,2022-08-15,2023-03-16
CRM3,CNY-6.23,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-09-02,2023-06-15,2023-06-15,RFUD,3,2022-09-02,2023-06-15,2022-09-02,2023-06-15
CRU3,CNY-9.23,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-11-02,2023-09-21,2023-09-21,RFUD,3,2022-11-02,2023-09-21,2022-11-02,2023-09-21
CRZ3,CNY-12.23,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-11-02,2023-12-21,2023-12-21,RFUD,3,2022-11-02,2023-12-21,2022-11-02,2023-12-21
CRH4,CNY-3.24,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-11-02,2024-03-21,2024-03-21,RFUD,3,2022-11-02,2024-03-21,2022-11-02,2024-03-21
CRM4,CNY-6.24,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2022-12-02,2024-06-20,2024-06-20,RFUD,3,2022-12-02,2024-06-20,2022-12-02,2024-06-20
CRU4,CNY-9.24,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2023-03-02,2024-09-19,2024-09-19,RFUD,3,2023-03-02,2024-09-19,2023-03-02,2024-09-19
CRZ4,CNY-12.24,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2023-06-01,2024-12-19,2024-12-19,RFUD,3,2023-06-01,2024-12-19,2023-06-01,2024-12-19
CRH5,CNY-3.25,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2023-09-08,2025-03-20,2025-03-20,RFUD,3,2023-09-08,2025-03-20,2023-09-08,2025-03-20
CRM5,CNY-6.25,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2023-12-08,2025-06-19,2025-06-19,RFUD,3,2023-12-08,2025-06-19,2023-12-08,2025-06-19
CRU5,CNY-9.25,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2024-03-07,2025-09-18,2025-09-18,RFUD,3,2024-03-07,2025-09-18,2024-03-07,2025-09-18
CRZ5,CNY-12.25,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2024-06-06,2025-12-18,2025-12-18,RFUD,3,2024-06-06,2025-12-18,2024-06-06,2025-12-18
CRH6,CNY-3.26,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2024-09-06,2026-03-19,2026-03-19,RFUD,3,2024-09-06,2026-03-19,2024-09-06,2026-03-19
CRM6,CNY-6.26,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2024-12-06,2026-06-18,2026-06-18,RFUD,3,2024-12-06,2026-06-18,2024-12-06,2026-06-18
CRU6,CNY-9.26,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2025-03-07,2026-09-17,2026-09-17,RFUD,3,2025-03-07,2026-07-17,2025-03-07,2026-07-20
CRZ6,CNY-12.26,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2025-06-05,2026-12-17,2026-12-17,RFUD,3,2025-06-05,2026-07-17,2025-06-05,2026-07-20
CRH7,CNY-3.27,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2025-09-10,2027-03-18,2027-03-18,RFUD,3,2025-09-10,2026-07-17,2025-09-10,2026-07-20
CRM7,CNY-6.27,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2025-12-05,2027-06-17,2027-06-17,RFUD,3,2025-12-05,2026-07-17,2025-12-05,2026-07-20
CRU7,CNY-9.27,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2026-03-06,2027-09-16,2027-09-16,RFUD,3,2026-03-06,2026-07-17,2026-03-06,2026-07-20
CRZ7,CNY-12.27,Фьючерсный контракт на курс китайский юань – российский рубль,CNY,2026-06-04,2027-12-16,2027-12-16,RFUD,3,2026-06-04,2026-07-17,2026-06-04,2026-07-20
