BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
MMIX,RUSFAR2W,2022-07-01,RUSFAR 2W,RUSFAR 2 недели,9.13,9.13,9.13,9.13,4110000000.0,,,2,,RUB,,3,,2022-07-01,
MMIX,RUSFAR2W,2022-07-04,RUSFAR 2W,RUSFAR 2 недели,9.1,9.1,9.1,9.1,200000000.0,,,2,,RUB,,3,,2022-07-04,
MMIX,RUSFAR2W,2022-07-05,RUSFAR 2W,RUSFAR 2 недели,9.09,9.09,9.09,9.09,2818055000.0,,,2,,RUB,,3,,2022-07-05,
MMIX,RUSFAR2W,2022-07-06,RUSFAR 2W,RUSFAR 2 недели,9.11,9.11,9.11,9.11,1660300000.0,,,2,,RUB,,3,,2022-07-06,
MMIX,RUSFAR2W,2022-07-07,RUSFAR 2W,RUSFAR 2 недели,9.05,9.05,9.05,9.05,277945000.0,,,2,,RUB,,3,,2022-07-07,
MMIX,RUSFAR2W,2022-07-08,RUSFAR 2W,RUSFAR 2 недели,9.09,9.09,9.09,9.09,1934180000.0,,,2,,RUB,,3,,2022-07-08,
MMIX,RUSFAR2W,2022-07-11,RUSFAR 2W,RUSFAR 2 недели,9.17,9.17,9.17,9.17,1000000000.0,,,2,,RUB,,3,,2022-07-11,
MMIX,RUSFAR2W,2022-07-12,RUSFAR 2W,RUSFAR 2 недели,9.2,9.2,9.2,9.2,1000000000.0,,,2,,RUB,,3,,2022-07-12,
MMIX,RUSFAR2W,2022-07-13,RUSFAR 2W,RUSFAR 2 недели,9.16,9.16,9.16,9.16,1500000000.0,,,2,,RUB,,3,,2022-07-13,
MMIX,RUSFAR2W,2022-07-14,RUSFAR 2W,RUSFAR 2 недели,9.14,9.14,9.14,9.14,525050000.0,,,2,,RUB,,3,,2022-07-14,
MMIX,RUSFAR2W,2022-07-15,RUSFAR 2W,RUSFAR 2 недели,9.11,9.11,9.11,9.11,455000000.0,,,2,,RUB,,3,,2022-07-15,
MMIX,RUSFAR2W,2022-07-18,RUSFAR 2W,RUSFAR 2 недели,9.04,9.04,9.04,9.04,0.0,,,2,,RUB,,3,,2022-07-18,
MMIX,RUSFAR2W,2022-07-19,RUSFAR 2W,RUSFAR 2 недели,8.97,8.97,8.97,8.97,3900000000.0,,,2,,RUB,,3,,2022-07-19,
