BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE
RFUD,2022-07-01,CRZ2,8.66,8.65,9.57,9.39,31378600.0,14005070.0,1518.0,3356,9.35,,9.23,7.07,3.0,435,CNY-12.22,CNY
RFUD,2022-07-04,CRZ2,9.45,9.19,9.54,9.34,33942540.0,6369310.0,680.0,3638,9.33,,9.37,-0.53,5.0,240,CNY-12.22,CNY
RFUD,2022-07-05,CRZ2,9.36,9.36,9.99,9.92,38227900.0,8928450.0,917.0,3842,9.95,,9.74,6.21,3.0,248,CNY-12.22,CNY
RFUD,2022-07-06,CRZ2,10.02,9.92,10.3,10.18,36126720.0,6480050.0,643.0,3528,10.24,,10.08,2.62,17.0,196,CNY-12.22,CNY
RFUD,2022-07-07,CRZ2,10.28,9.92,10.28,10.06,36779360.0,3865240.0,382.0,3656,10.06,,10.12,-1.18,2.0,112,CNY-12.22,CNY
RFUD,2022-07-08,CRZ2,9.94,9.71,9.94,9.86,36521440.0,2981000.0,304.0,3704,9.86,,9.8,-1.99,1.0,91,CNY-12.22,CNY
RFUD,2022-07-11,CRZ2,9.82,9.46,9.88,9.48,39853920.0,5184100.0,533.0,4204,9.48,,9.73,-3.85,1.0,158,CNY-12.22,CNY
RFUD,2022-07-12,CRZ2,9.46,9.14,9.48,9.44,41674080.0,5341640.0,572.0,4424,9.42,,9.34,-0.42,3.0,207,CNY-12.22,CNY
RFUD,2022-07-13,CRZ2,9.38,9.26,9.45,9.27,43755900.0,3685730.0,395.0,4710,9.29,,9.33,-1.8,1.0,180,CNY-12.22,CNY
RFUD,2022-07-14,CRZ2,9.25,9.17,9.31,9.3,53847000.0,8409530.0,907.0,5790,9.3,,9.27,0.32,4.0,325,CNY-12.22,CNY
RFUD,2022-07-15,CRZ2,9.28,9.01,9.39,9.19,68830020.0,18954870.0,2050.0,7506,9.17,,9.25,-1.18,1.0,361,CNY-12.22,CNY
RFUD,2022-07-18,CRZ2,9.18,8.95,9.2,9.02,70951320.0,3629960.0,402.0,7866,9.02,,9.03,-1.85,7.0,131,CNY-12.22,CNY
RFUD,2022-07-19,CRZ2,9.02,8.76,9.02,8.9,111303400.0,27082380.0,3045.0,12506,8.9,,8.89,-1.33,1.0,726,CNY-12.22,CNY
RFUD,2022-07-20,CRZ2,8.96,8.73,8.96,8.75,142502500.0,22818970.0,2607.0,16286,8.75,,8.75,-1.69,1.0,182,CNY-12.22,CNY
RFUD,2022-07-21,CRZ2,8.75,8.72,9.27,9.1,162292860.0,29094260.0,3229.0,17854,9.09,,9.01,4.0,10.0,549,CNY-12.22,CNY
RFUD,2022-07-22,CRZ2,9.05,9.01,9.25,9.09,301660740.0,120848980.0,13232.0,33186,9.09,,9.13,-0.11,5.0,705,CNY-12.22,CNY
RFUD,2022-07-25,CRZ2,9.08,9.07,9.27,9.26,345823960.0,34512350.0,3739.0,37346,9.26,,9.23,1.87,1.0,322,CNY-12.22,CNY
RFUD,2022-07-26,CRZ2,9.25,9.25,9.73,9.72,415510560.0,47973020.0,5062.0,42748,9.72,,9.48,4.97,4.0,465,CNY-12.22,CNY
RFUD,2022-07-27,CRZ2,9.78,9.44,9.9,9.58,506590400.0,114732280.0,11957.0,52880,9.58,,9.59,-1.44,1.0,992,CNY-12.22,CNY
RFUD,2022-07-28,CRZ2,9.58,9.46,9.77,9.7,636665280.0,73089460.0,7578.0,65568,9.71,,9.69,1.25,5.0,514,CNY-12.22,CNY
RFUD,2022-07-29,CRZ2,9.75,9.67,9.93,9.89,869528800.0,172013850.0,17567.0,87920,9.89,,9.85,1.96,2.0,785,CNY-12.22,CNY
RFUD,2022-08-01,CRZ2,9.91,9.46,10.07,9.6,1366215260.0,362284570.0,36609.0,142166,9.61,,9.82,-2.93,3.0,1878,CNY-12.22,CNY
RFUD,2022-08-02,CRZ2,9.61,9.47,9.67,9.62,1770028800.0,340458120.0,35465.0,184378,9.6,,9.58,0.21,2.0,1843,CNY-12.22,CNY
RFUD,2022-08-03,CRZ2,9.63,9.53,9.7,9.65,3665783520.0,1079888270.0,112288.0,380268,9.64,,9.59,0.31,17.0,1853,CNY-12.22,CNY
RFUD,2022-08-04,CRZ2,9.65,9.49,9.7,9.56,4395401200.0,503814760.0,52510.0,459770,9.56,,9.57,-0.93,1.0,2050,CNY-12.22,CNY
RFUD,2022-08-05,CRZ2,9.59,9.53,9.78,9.72,6282658080.0,1019222850.0,105405.0,646364,9.72,,9.67,1.67,9.0,1482,CNY-12.22,CNY
RFUD,2022-08-08,CRZ2,9.75,9.57,9.77,9.71,9971529140.0,2113972440.0,217289.0,1026934,9.71,,9.65,-0.1,2.0,2238,CNY-12.22,CNY
RFUD,2022-08-09,CRZ2,9.71,9.49,9.75,9.56,11279729280.0,1077107670.0,111487.0,1179888,9.56,,9.61,-1.54,10.0,2744,CNY-12.22,CNY
RFUD,2022-08-10,CRZ2,9.56,9.53,9.63,9.62,12097958080.0,597677910.0,62301.0,1257584,9.62,,9.59,0.63,2.0,1796,CNY-12.22,CNY
RFUD,2022-08-11,CRZ2,9.64,9.52,9.66,9.62,14151077720.0,1597118660.0,166539.0,1471006,9.62,,9.59,0.0,47.0,3260,CNY-12.22,CNY
RFUD,2022-08-12,CRZ2,9.6,9.43,9.61,9.49,14413279140.0,1191086980.0,124600.0,1518786,9.49,,9.56,-1.35,60.0,2328,CNY-12.22,CNY
RFUD,2022-08-15,CRZ2,9.5,9.47,9.57,9.51,14462745920.0,188545370.0,19787.0,1519196,9.52,,9.53,0.21,1.0,957,CNY-12.22,CNY
RFUD,2022-08-16,CRZ2,9.52,9.38,9.54,9.41,14559773060.0,289996350.0,30681.0,1547266,9.41,,9.45,-1.05,10.0,1056,CNY-12.22,CNY
RFUD,2022-08-17,CRZ2,9.39,9.24,9.44,9.3,14467210200.0,222437210.0,23837.0,1555614,9.3,,9.33,-1.17,5.0,1203,CNY-12.22,CNY
RFUD,2022-08-18,CRZ2,9.31,9.04,9.35,9.15,14222156100.0,420058240.0,45878.0,1554334,9.15,,9.16,-1.61,3.0,2514,CNY-12.22,CNY
RFUD,2022-08-19,CRZ2,9.14,8.87,9.14,8.95,14152768000.0,498535380.0,55533.0,1579550,8.96,,8.98,-2.19,3.0,2777,CNY-12.22,CNY
RFUD,2022-08-22,CRZ2,8.97,8.94,9.14,9.04,14486889280.0,341047600.0,37741.0,1602532,9.04,,9.04,1.01,5.0,2167,CNY-12.22,CNY
RFUD,2022-08-23,CRZ2,9.04,8.85,9.1,9.04,14846825920.0,509927340.0,56518.0,1642348,9.04,,9.02,0.0,19.0,2735,CNY-12.22,CNY
RFUD,2022-08-24,CRZ2,9.05,9.01,9.09,9.06,14999464200.0,226413310.0,25014.0,1655570,9.06,,9.05,0.22,10.0,1195,CNY-12.22,CNY
RFUD,2022-08-25,CRZ2,9.06,8.98,9.08,9.04,14931827400.0,670900510.0,74323.0,1653580,9.03,,9.03,-0.22,9.0,2709,CNY-12.22,CNY
RFUD,2022-08-26,CRZ2,9.04,9.0,9.07,9.06,14858218800.0,252993430.0,28023.0,1639980,9.06,,9.03,0.22,1.0,901,CNY-12.22,CNY
RFUD,2022-08-29,CRZ2,9.06,8.96,9.09,9.0,14669361200.0,381474830.0,42375.0,1628120,9.01,,9.0,-0.66,1.0,2039,CNY-12.22,CNY
RFUD,2022-08-30,CRZ2,9.01,8.92,9.03,8.93,11669795440.0,2060271120.0,229194.0,1306808,8.93,,8.98,-0.78,5.0,2713,CNY-12.22,CNY
RFUD,2022-08-31,CRZ2,8.93,8.85,9.05,8.97,11016646040.0,1080396330.0,120857.0,1226798,8.98,,8.96,0.45,5.0,2494,CNY-12.22,CNY
RFUD,2022-09-01,CRZ2,8.98,8.95,9.03,8.99,11938072720.0,876758460.0,97429.0,1327928,8.99,,9.0,0.22,5.0,2409,CNY-12.22,CNY
RFUD,2022-09-02,CRZ2,9.0,8.98,9.09,9.07,12326564880.0,480341940.0,53264.0,1360548,9.06,,9.02,0.89,1.0,1698,CNY-12.22,CNY
RFUD,2022-09-05,CRZ2,9.07,9.0,9.14,9.03,13763670480.0,1821004430.0,201046.0,1524216,9.03,,9.06,-0.44,10.0,6870,CNY-12.22,CNY
RFUD,2022-09-06,CRZ2,9.03,8.97,9.05,9.02,13765459980.0,1292856970.0,143620.0,1527798,9.01,,9.0,-0.11,1.0,3384,CNY-12.22,CNY
RFUD,2022-09-07,CRZ2,9.02,8.96,9.06,8.99,12910143440.0,1840656520.0,204740.0,1436056,8.99,,8.99,-0.33,1.0,3672,CNY-12.22,CNY
RFUD,2022-09-08,CRZ2,9.0,8.94,9.01,8.98,14766740260.0,2090924150.0,232779.0,1642574,8.99,,8.98,-0.11,141.0,3890,CNY-12.22,CNY
RFUD,2022-09-09,CRZ2,9.0,8.95,9.01,8.98,16053070800.0,2793544360.0,311049.0,1789640,8.97,,8.98,0.0,1.0,3327,CNY-12.22,CNY
RFUD,2022-09-12,CRZ2,8.97,8.93,9.03,8.98,17079475080.0,2028211850.0,226168.0,1901946,8.98,,8.97,0.0,1.0,4399,CNY-12.22,CNY
RFUD,2022-09-13,CRZ2,8.98,8.78,9.0,8.85,18819719700.0,3672360010.0,413629.0,2126522,8.85,,8.88,-1.45,85.0,9053,CNY-12.22,CNY
