BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2022-07-01,CNYRUB_TOM,CNYRUB_TOM,8.0142,7.93,9.01,8.7511,36259,8.6516
CETS,2022-07-04,CNYRUB_TOM,CNYRUB_TOM,8.79,8.45,9.044,8.675,33664,8.6788
CETS,2022-07-05,CNYRUB_TOM,CNYRUB_TOM,8.678,8.6064,9.475,9.3999,50778,9.0292
CETS,2022-07-06,CNYRUB_TOM,CNYRUB_TOM,9.4,9.3811,9.8421,9.7485,39708,9.5559
CETS,2022-07-07,CNYRUB_TOM,CNYRUB_TOM,9.7485,9.3641,9.89,9.5355,27895,9.5606
CETS,2022-07-08,CNYRUB_TOM,CNYRUB_TOM,9.535,9.19,9.535,9.2762,21206,9.2799
CETS,2022-07-11,CNYRUB_TOM,CNYRUB_TOM,9.21,8.855,9.2887,8.902,35500,9.1559
CETS,2022-07-12,CNYRUB_TOM,CNYRUB_TOM,8.8995,8.506,8.9096,8.8418,35775,8.7427
CETS,2022-07-13,CNYRUB_TOM,CNYRUB_TOM,8.86,8.6202,8.895,8.7052,34769,8.7194
CETS,2022-07-14,CNYRUB_TOM,CNYRUB_TOM,8.7,8.5415,8.739,8.6563,28574,8.6359
CETS,2022-07-15,CNYRUB_TOM,CNYRUB_TOM,8.65,8.43,8.815,8.5901,34067,8.5725
CETS,2022-07-18,CNYRUB_TOM,CNYRUB_TOM,8.6,8.3551,8.6285,8.44,26765,8.4236
CETS,2022-07-19,CNYRUB_TOM,CNYRUB_TOM,8.4393,8.1518,8.4393,8.3,40901,8.2648
CETS,2022-07-20,CNYRUB_TOM,CNYRUB_TOM,8.27,8.1111,8.27,8.15,35707,8.1596
CETS,2022-07-21,CNYRUB_TOM,CNYRUB_TOM,8.14,8.104,8.7186,8.52,54249,8.4143
CETS,2022-07-22,CNYRUB_TOM,CNYRUB_TOM,8.524,8.4611,8.7789,8.5837,48765,8.5927
CETS,2022-07-25,CNYRUB_TOM,CNYRUB_TOM,8.584,8.5439,8.719,8.6894,40199,8.6347
CETS,2022-07-26,CNYRUB_TOM,CNYRUB_TOM,8.6952,8.6952,9.237,9.2,54259,8.8344
CETS,2022-07-27,CNYRUB_TOM,CNYRUB_TOM,9.23,8.878,9.263,8.9971,66320,9.021
CETS,2022-07-28,CNYRUB_TOM,CNYRUB_TOM,8.98,8.9002,9.1898,9.1401,54850,9.0618
CETS,2022-07-29,CNYRUB_TOM,CNYRUB_TOM,9.1251,9.0802,9.3661,9.3299,53739,9.2298
CETS,2022-08-01,CNYRUB_TOM,CNYRUB_TOM,9.27,8.807,9.458,9.033,77064,9.1958
CETS,2022-08-02,CNYRUB_TOM,CNYRUB_TOM,8.976,8.852,9.048,8.97,54370,8.9356
CETS,2022-08-03,CNYRUB_TOM,CNYRUB_TOM,8.98,8.852,9.045,8.986,39921,8.9462
CETS,2022-08-04,CNYRUB_TOM,CNYRUB_TOM,9.02,8.889,9.063,8.94,40123,8.9339
CETS,2022-08-05,CNYRUB_TOM,CNYRUB_TOM,8.95,8.906,9.074,9.052,52996,8.9794
CETS,2022-08-08,CNYRUB_TOM,CNYRUB_TOM,9.029,8.888,9.089,9.027,49145,8.9621
CETS,2022-08-09,CNYRUB_TOM,CNYRUB_TOM,9.028,8.912,9.041,8.924,38146,8.9517
CETS,2022-08-10,CNYRUB_TOM,CNYRUB_TOM,8.92,8.904,9.095,9.09,34417,8.9704
CETS,2022-08-11,CNYRUB_TOM,CNYRUB_TOM,9.07,8.988,9.076,9.026,35268,9.0124
CETS,2022-08-12,CNYRUB_TOM,CNYRUB_TOM,9.04,8.95,9.067,8.995,34065,9.0297
CETS,2022-08-15,CNYRUB_TOM,CNYRUB_TOM,8.983,8.951,9.09,9.03,31774,9.0447
CETS,2022-08-16,CNYRUB_TOM,CNYRUB_TOM,9.038,8.924,9.065,8.97,56068,9.0129
CETS,2022-08-17,CNYRUB_TOM,CNYRUB_TOM,8.97,8.816,9.02,8.901,36066,8.9353
CETS,2022-08-18,CNYRUB_TOM,CNYRUB_TOM,8.91,8.68,8.926,8.756,52684,8.8135
CETS,2022-08-19,CNYRUB_TOM,CNYRUB_TOM,8.747,8.534,8.759,8.61,49316,8.6424
CETS,2022-08-22,CNYRUB_TOM,CNYRUB_TOM,8.65,8.62,8.78,8.711,43361,8.6988
CETS,2022-08-23,CNYRUB_TOM,CNYRUB_TOM,8.715,8.68,8.787,8.72,43328,8.7163
CETS,2022-08-24,CNYRUB_TOM,CNYRUB_TOM,8.735,8.695,8.76,8.748,36736,8.7355
CETS,2022-08-25,CNYRUB_TOM,CNYRUB_TOM,8.747,8.7,8.768,8.755,28775,8.7296
CETS,2022-08-26,CNYRUB_TOM,CNYRUB_TOM,8.762,8.72,8.769,8.765,23361,8.7434
CETS,2022-08-29,CNYRUB_TOM,CNYRUB_TOM,8.76,8.7,8.763,8.726,21580,8.7211
CETS,2022-08-30,CNYRUB_TOM,CNYRUB_TOM,8.73,8.652,8.755,8.675,25011,8.7369
CETS,2022-08-31,CNYRUB_TOM,CNYRUB_TOM,8.6,8.6,8.782,8.72,34017,8.7158
CETS,2022-09-01,CNYRUB_TOM,CNYRUB_TOM,8.73,8.698,8.756,8.727,20087,8.7268
CETS,2022-09-02,CNYRUB_TOM,CNYRUB_TOM,8.731,8.728,8.825,8.805,24908,8.747
CETS,2022-09-05,CNYRUB_TOM,CNYRUB_TOM,8.817,8.717,8.854,8.738,21924,8.7734
CETS,2022-09-06,CNYRUB_TOM,CNYRUB_TOM,8.74,8.713,8.774,8.765,22340,8.7489
CETS,2022-09-07,CNYRUB_TOM,CNYRUB_TOM,8.767,8.728,8.809,8.732,20329,8.7539
CETS,2022-09-08,CNYRUB_TOM,CNYRUB_TOM,8.752,8.714,8.775,8.731,19674,8.7353
CETS,2022-09-09,CNYRUB_TOM,CNYRUB_TOM,8.73,8.697,8.75,8.723,17309,8.7306
CETS,2022-09-12,CNYRUB_TOM,CNYRUB_TOM,8.723,8.7,8.76,8.713,29800,8.7234
CETS,2022-09-13,CNYRUB_TOM,CNYRUB_TOM,8.713,8.556,8.744,8.595,40837,8.6494
