section,dataset,variable,source,original_field,unit,frequency,transformation,missing_value_treatment,economic_interpretation,important_limitations
raw,bank_rates_daily.csv,observation_date,People's Bank of China/CFETS loan prime rate publication,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,bank_rates_daily.csv,LPR_1Y,People's Bank of China/CFETS loan prime rate publication,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,bank_rates_daily.csv,LPR_5Y,People's Bank of China/CFETS loan prime rate publication,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,bank_rates_daily.csv,source,People's Bank of China/CFETS loan prime rate publication,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,bank_rates_daily.csv,source_url,People's Bank of China/CFETS loan prime rate publication,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,observation_date,Bank of Russia,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,rate_pct,Bank of Russia,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,cbr_key_rate_daily.csv,series,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,rate_type,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,cbr_key_rate_daily.csv,currency,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,tenor_days,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,source,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,cbr_key_rate_daily.csv,source_url,Bank of Russia,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,observation_date,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,date,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,FDR007,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,china_repo_fixing_daily.csv,FR001,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,FR014,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,FDR014,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,china_repo_fixing_daily.csv,FDR001,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,china_repo_fixing_daily.csv,FR007,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,china_repo_fixing_daily.csv,source,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
